source_id,title,classification,score_0_100,meal_type,time_estimate,difficulty,main_ingredients,source_ingredients_full,source_steps_full,source_notes_raw,source_file,why_good_or_bad,reject_reason,duplicate_risk,similar_existing_recipe,cis_availability,nutrition_feasibility,adaptation_needed,manual_review_notes,user_decision
Все рецепты!R172 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 4.pdf | variant 4 ужин,Тушеная инлейк0гра с салатом из свежей капусты,MAYBE_REVIEW,69,dinner,45-90 min,medium,"Тушеная инлейк0гра с салатом; из свежей капусты. Филе бедра; индейка; сливочное масло; салата Капуста; соль, петрушка свежая","Тушеная инлейк0гра с салатом
из свежей капусты. Филе бедра
индейка - 150гр, лук 50гр,
сливочное масло 10гр. Для
салата Капуста 100гр, морковь
5, лимонный сок -1ч ложка,
соль, петрушка свежая","В сковороде разогреваем
сливочное масло
Выкладываем индейку и лук
в сковороду, порезанные на
средние кусочки. Мясо и лук
солим и перчим по вкусу.
Даем мясу немного
обжариться на среднем
огне, буквально пару минут,
до легкой корочки вливаем 1
стакан воды. меньшаем
огонь до умеренного,
накрываем сковороду
крышкой. Тушеная индейка с
луком будет готовиться
около 1 часа","КБЖУ ужин
432
26
31
8
общее КБЖУ
1302
94
49
121",[InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 4.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 7 times in this workbook,
Все рецепты!R187 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 7.pdf | variant 7 ужин,Тушеная инлейк0гра с салатом из свежей капусты,MAYBE_REVIEW,69,dinner,45-90 min,medium,Тушеная инлейк0гра с салатом; из свежей капусты. Филе бедра; индейка; сливочное масло; салата Капуста; петрушка свежая,"Тушеная инлейк0гра с салатом
из свежей капусты. Филе бедра
индейка - 150гр, лук 50гр,
сливочное масло 10гр. Для
салата Капуста 100гр, морковь 5,
лимонный сок -1ч ложка, соль,
петрушка свежая","В сковороде разогреваем
сливочное масло
Выкладываем индейку и лук
в сковороду, порезанные на
средние кусочки. Мясо и лук
солим и перчим по вкусу.
Даем мясу немного
обжариться на среднем огне,
буквально пару минут, до
легкой корочки вливаем 1
стакан воды. меньшаем
огонь до умеренного,
накрываем сковороду","КБЖУ ужин
432
26
31
8
общее КБЖУ
1401
100
56
113",[InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 7.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 7 times in this workbook,
Все рецепты!R212 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1500 вариант 5.pdf | variant 5 ужин,Тушеная инлейк0гра с салатом из свежей капусты,MAYBE_REVIEW,69,dinner,45-90 min,medium,Тушеная инлейк0гра с салатом; из свежей капусты. Филе бедра; индейка; сливочное масло; салата Капуста; петрушка свежая,"Тушеная инлейк0гра с салатом
из свежей капусты. Филе бедра
индейка - 150гр, лук 50гр,
сливочное масло 10гр. Для
салата Капуста 100гр, морковь 5,
лимонный сок -1ч ложка, соль,
петрушка свежая","В сковороде разогреваем
сливочное масло
Выкладываем индейку и лук
в сковороду, порезанные на
средние кусочки. Мясо и лук
солим и перчим по вкусу.
Даем мясу немного
обжариться на среднем огне,
буквально пару минут, до
легкой корочки вливаем 1
стакан воды. меньшаем
огонь до умеренного,
накрываем сковороду","КБЖУ ужин
432
26
31
8
общее КБЖУ
1494
96
71
106",[InfoVolna.com] Рекомендованный план питания 1500 вариант 5.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 7 times in this workbook,
Все рецепты!R317 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1800 вариант 5.pdf | variant 5 ужин,Тушеная инлейк0гра с салатом из свежей капусты,MAYBE_REVIEW,69,dinner,45-90 min,medium,Тушеная инлейк0гра с салатом; из свежей капусты. Филе бедра; индейка; сливочное масло; салата Капуста; петрушка свежая,"Тушеная инлейк0гра с салатом
из свежей капусты. Филе бедра
индейка - 150гр, лук 50гр,
сливочное масло 10гр. Для
салата Капуста 100гр, морковь 5,
лимонный сок -1ч ложка, соль,
петрушка свежая","В сковороде разогреваем
сливочное масло
Выкладываем индейку и лук
в сковороду, порезанные на
средние кусочки. Мясо и лук
солим и перчим по вкусу.
Даем мясу немного
обжариться на среднем огне,
буквально пару минут, до
легкой корочки вливаем 1
стакан воды. меньшаем огонь
до умеренного, накрываем
сковороду крышкой. Тушеная","КБЖУ ужин
432
26
31
8
общее КБЖУ
1796
132
63
164",[InfoVolna.com] Рекомендованный план питания 1800 вариант 5.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 7 times in this workbook,
Все рецепты!R337 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1900 вариант 2.pdf | variant 2 ужин,Тушеная инлейк0гра с салатом из свежей капусты,MAYBE_REVIEW,69,dinner,45-90 min,medium,"Тушеная инлейк0гра с салатом; из свежей капусты. Стейк; индейки; салата Капуста; соль, петрушка свежая. Хлеб; зерновой","Тушеная инлейк0гра с салатом
из свежей капусты. Стейк
индейки - 250гр, лук 50гр, . Для
салата Капуста 200гр, морковь
50гр, лимонный сок -1ч ложка,
соль, петрушка свежая. Хлеб
зерновой 80гр (1 большой
ломтик)","В сковороде разогреваем
сливочное масло
Выкладываем индейку и лук
в сковороду, порезанные на
средние кусочки. Мясо и лук
солим и перчим по вкусу.
Даем мясу немного
обжариться на среднем огне,
буквально пару минут, до
легкой корочки вливаем 1
стакан воды. меньшаем огонь
до умеренного, накрываем
сковороду крышкой. Тушеная
индейка с луком будет
готовиться около 1 часа","КБЖУ ужин
520
64
10
43
общее КБЖУ
1916
184
54
161",[InfoVolna.com] Рекомендованный план питания 1900 вариант 2.pdf,clear cooking steps; usable quantities; everyday cooking method; repeated source title needs variant selection,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 7 times in this workbook,
Все рецепты!R377 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2000 вариант 3.pdf | variant 3 ужин,Тушеная инлейк0гра с салатом из свежей капусты,MAYBE_REVIEW,69,dinner,45-90 min,medium,Тушеная инлейк0гра с салатом; из свежей капусты. Филе бедра; индейка; сливочное масло; салата Капуста; петрушка свежая,"Тушеная инлейк0гра с салатом
из свежей капусты. Филе бедра
индейка - 150гр, лук 50гр,
сливочное масло 10гр. Для
салата Капуста 100гр, морковь 5,
лимонный сок -1ч ложка, соль,
петрушка свежая","В сковороде разогреваем
сливочное масло
Выкладываем индейку и лук
в сковороду, порезанные на
средние кусочки. Мясо и лук
солим и перчим по вкусу.
Даем мясу немного
обжариться на среднем огне,
буквально пару минут, до
легкой корочки вливаем 1
стакан воды. меньшаем
огонь до умеренного,
накрываем сковороду
крышкой. Тушеная индейка с
луком будет готовиться
около 1 часа","КБЖУ ужин
432
26
31
8
общее КБЖУ
2013
143
70
182",[InfoVolna.com] Рекомендованный план питания 2000 вариант 3.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 7 times in this workbook,
Все рецепты!R426 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2100-2200 вариант 6.pdf | variant 6 перекус 2,Тушеная инлейк0гра с салатом из свежей капусты,MAYBE_REVIEW,69,snack,45-90 min,medium,Тушеная инлейк0гра с салатом; из свежей капусты. Филе бедра; индейка; сливочное масло; салата Капуста; Даем мясу немного,"Тушеная инлейк0гра с салатом
из свежей капусты. Филе бедра
индейка - 150гр, лук 50гр,
сливочное масло 10гр. Для
салата Капуста 100гр, морковь 5,
Даем мясу немного
обжариться на среднем огне,
лимонный сок -1ч ложка, соль,
петрушка свежая
огонь до умеренного,
накрываем сковороду
крышкой. Тушеная индейка с","В сковороде разогреваем
сливочное масло
Выкладываем индейку и лук
в сковороду, порезанные на
средние кусочки. Мясо и лук
солим и перчим по вкусу.
буквально пару минут, до
легкой корочки вливаем 1
стакан воды. меньшаем
луком будет готовиться
около 1 часа","перекус КБЖУ
432
26
31
8",[InfoVolna.com] Рекомендованный план питания 2100-2200 вариант 6.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 7 times in this workbook,
Все рецепты!R227 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1600 вариант 1.pdf | variant 1 ужин,Фрикасе из курицы и грибов,MAYBE_REVIEW,69,dinner,20-45 min,unknown,Фрикасе из курицы и грибов; филе курицы; репчатый лук; сладкий перец; чеснок; сметана 15%,"Фрикасе из курицы и грибов.
Ингредиенты:
филе курицы (или индейки) -200
г
репчатый лук — 1-2 шт.
сладкий перец — 1-2 шт.
чеснок — 3 зубков Грибы -100гр
сметана 15% 100 г
соль специи Помидор -1шт,
огурец -1шт для нарезки","мясо помыть и порезать
соломкой. Лук очистить и
порезать полукольцами.
Сладкий перец очистить от
семян и плодоножек и
порезать соломкой. Чеснок
очистить и мелко порезать.
На сковороде поджарить
несколько минут лук и перец
и грибы на оливковом масле,
можно добавить немного
воды. К курице добавить
измельченный чеснок и
сметану. Перемешать.
Куриное филе со сметаной
переложить на сковороду к
луку и перцу. Перемешать и
довести до кипения. Фрикасе
довести до кипения, накрыть
крышкой и тушить минут 7.
Время от времени
перемешивать.","КБЖУ ужин
418
52
19
8
общее КБЖУ
1604
155
43
145",[InfoVolna.com] Рекомендованый план питания 1600 вариант 1.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,good,good,choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 6 times in this workbook,
Все рецепты!R262 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1700 вариант 1.pdf | variant 1 ужин,Фрикасе из курицы и грибов,MAYBE_REVIEW,69,dinner,20-45 min,unknown,Фрикасе из курицы и грибов; филе курицы; репчатый лук; сладкий перец; Оливковое масло; чеснок,"Фрикасе из курицы и грибов.
Ингредиенты:
филе курицы (или индейки) -200
г
репчатый лук — 1-2 шт.
сладкий перец — 1-2 шт.
Оливковое масло 10гр
чеснок — 3 зубков Грибы -100гр
сметана 15% 100 г
соль специи Помидор -1шт,
огурец -1шт для нарезки","мясо помыть и порезать
соломкой. Лук очистить и
порезать полукольцами.
Сладкий перец очистить от
семян и плодоножек и
порезать соломкой. Чеснок
очистить и мелко порезать.
На сковороде поджарить
несколько минут лук и перец
и грибы на оливковом масле,
можно добавить немного
воды. К курице добавить
измельченный чеснок и
сметану. Перемешать.
Куриное филе со сметаной
переложить на сковороду к
луку и перцу. Перемешать и
довести до кипения. Фрикасе
довести до кипения, накрыть
крышкой и тушить минут 7.
Время от времени
перемешивать.","КБЖУ ужин
508
52
29
8
общее КБЖУ
1710
152
58
141",[InfoVolna.com] Рекомендованый план питания 1700 вариант 1.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,good,good,choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 6 times in this workbook,
Все рецепты!R295 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1800 вариант 1.pdf | variant 1 обед,Фрикасе из курицы и грибов,MAYBE_REVIEW,69,lunch,20-45 min,unknown,Фрикасе из курицы и грибов; филе курицы; репчатый лук; сладкий перец; Оливковое масло; чеснок,"Фрикасе из курицы и грибов.
Ингредиенты:
филе курицы (или индейки) -200
г
репчатый лук — 1-2 шт.
сладкий перец — 1-2 шт.
Оливковое масло 10гр
чеснок — 3 зубков Грибы -100гр
сметана 15% 100 г
соль специи Помидор -1шт,
огурец -1шт для нарезки","мясо помыть и порезать
соломкой. Лук очистить и
порезать полукольцами.
Сладкий перец очистить от
семян и плодоножек и
порезать соломкой. Чеснок
очистить и мелко порезать.
На сковороде поджарить
несколько минут лук и перец
и грибы на оливковом масле,
можно добавить немного
воды. К курице добавить
измельченный чеснок и
сметану. Перемешать.
Куриное филе со сметаной
переложить на сковороду к
луку и перцу. Перемешать и
довести до кипения. Фрикасе
довести до кипения, накрыть
крышкой и тушить минут 7.
Время от времени
перемешивать.","КБЖУ обед
508
52
29
8",[InfoVolna.com] Рекомендованный план питания 1800 вариант 1.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,good,good,choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 6 times in this workbook,
Все рецепты!R362 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1900 вариант 7.pdf | variant 7 ужин,Фрикасе из курицы и грибов,MAYBE_REVIEW,69,dinner,20-45 min,unknown,Фрикасе из курицы и грибов; филе курицы; репчатый лук; сладкий перец; Оливковое масло; чеснок,"Фрикасе из курицы и грибов.
Ингредиенты:
филе курицы (или индейки) -200
г
репчатый лук — 1-2 шт.
сладкий перец — 1-2 шт.
Оливковое масло 10гр
чеснок — 3 зубков Грибы -100гр
сметана 15% 100 г
соль специи Помидор -1шт,
огурец -1шт для нарезки","мясо помыть и порезать
соломкой. Лук очистить и
порезать полукольцами.
Сладкий перец очистить от
семян и плодоножек и
порезать соломкой. Чеснок
очистить и мелко порезать.
На сковороде поджарить
несколько минут лук и перец
и грибы на оливковом масле,
можно добавить немного
воды. К курице добавить
измельченный чеснок и
сметану. Перемешать.
Куриное филе со сметаной
переложить на сковороду к
луку и перцу. Перемешать и
довести до кипения. Фрикасе
довести до кипения, накрыть
крышкой и тушить минут 7.
Время от времени
перемешивать.","КБЖУ ужин
508
52
29
8
общее КБЖУ
1967
182
85
122",[InfoVolna.com] Рекомендованный план питания 1900 вариант 7.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,good,good,choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 6 times in this workbook,
Все рецепты!R397 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2000 вариант 7.pdf | variant 7 ужин,Фрикасе из курицы и грибов,MAYBE_REVIEW,69,dinner,20-45 min,unknown,Фрикасе из курицы и грибов; филе курицы; репчатый лук; сладкий перец; Оливковое масло; чеснок,"Фрикасе из курицы и грибов.
Ингредиенты:
филе курицы (или индейки) -200
г
репчатый лук — 1-2 шт.
сладкий перец — 1-2 шт.
Оливковое масло 10гр
чеснок — 3 зубков Грибы -100гр
сметана 15% 100 г
соль специи Помидор -1шт,
огурец -1шт для нарезки","мясо помыть и порезать
соломкой. Лук очистить и
порезать полукольцами.
Сладкий перец очистить от
семян и плодоножек и
порезать соломкой. Чеснок
очистить и мелко порезать.
На сковороде поджарить
несколько минут лук и перец
и грибы на оливковом масле,
можно добавить немного
воды. К курице добавить
измельченный чеснок и
сметану. Перемешать.
Куриное филе со сметаной
переложить на сковороду к
луку и перцу. Перемешать и
довести до кипения. Фрикасе
довести до кипения, накрыть
крышкой и тушить минут 7.
Время от времени
перемешивать.","КБЖУ ужин
508
52
29
8
общее КБЖУ
1967
182
85
122",[InfoVolna.com] Рекомендованный план питания 2000 вариант 7.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,good,good,choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 6 times in this workbook,
Все рецепты!R402 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2100-2200 вариант 1.pdf | variant 1 ужин,Фрикасе из курицы и грибов,MAYBE_REVIEW,69,dinner,20-45 min,unknown,Фрикасе из курицы и грибов; филе курицы; репчатый лук; сладкий перец; Оливковое масло; чеснок,"Фрикасе из курицы и грибов.
Ингредиенты:
филе курицы (или индейки) -200
г
репчатый лук — 1-2 шт.
сладкий перец — 1-2 шт.
Оливковое масло 10гр
чеснок — 3 зубков Грибы -100гр
сметана 15% 100 г
соль специи Помидор -1шт,
огурец -1шт для нарезки","мясо помыть и порезать
соломкой. Лук очистить и
порезать полукольцами.
Сладкий перец очистить от
семян и плодоножек и
порезать соломкой. Чеснок
очистить и мелко порезать.
На сковороде поджарить
несколько минут лук и перец
и грибы на оливковом масле,
можно добавить немного
воды. К курице добавить
измельченный чеснок и
сметану. Перемешать.
Куриное филе со сметаной
переложить на сковороду к
луку и перцу. Перемешать и
довести до кипения. Фрикасе
довести до кипения, накрыть
крышкой и тушить минут 7.
Время от времени
перемешивать.","КБЖУ ужин
508
52
29
8
общее КБЖУ
2170
188
82
158",[InfoVolna.com] Рекомендованный план питания 2100-2200 вариант 1.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients; repeated source title needs variant selection,,low,,good,good,choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; same source title appears 6 times in this workbook,
Все рецепты!R158 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 2.pdf | variant 2 завтрак,"Хлеб цельнозерновой - 70 гр (2 куска средних), сыр легкий 15- 25% - 40гр, капучинно 200мл",MAYBE_REVIEW,69,breakfast,unknown,easy,"Хлеб цельнозерновой; куска средних), сыр легкий 15; 25%","Хлеб цельнозерновой - 70 гр (2
куска средних), сыр легкий 15-
25% - 40гр, капучинно 200мл",,"КБЖУ завтрак
359
24
13
34",[InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 2.pdf,"missing steps; positive: usable quantities, protein-forward",,low,,good,medium,check quantities before nutrition calculation; choose one best source variant before any import,verify whether this is a no-cook snack or an incomplete recipe; InfoVolna meal-plan row; check it works as a standalone recipe; title was inferred or looks like a source fragment; same source title appears 4 times in this workbook,
Все рецепты!R178 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 6.pdf | variant 6 завтрак,бутерброды с говядиной и сыром,MAYBE_REVIEW,69,breakfast,20-45 min,unknown,"бутерброды с говядиной и; сыром. Хлеб зерновой (3; средних ломтика); легкий; говядина варенаяпостная (или в; вакумной упаковке, готовая не","бутерброды с говядиной и
сыром. Хлеб зерновой (3
средних ломтика) - 110 гр. Сыр
легкий (15-20%) - 50 гр,
говядина варенаяпостная (или в
вакумной упаковке, готовая не
жирная) -50гр Можно добавить
зелень и овощи (помидор
огурец)","Делаем бутерброды с
хлебом сыром и говядиной.","КБЖУ завтрак
430
31
16
39",[InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 6.pdf,"possible duplicate; compare with existing: Бутерброд с ветчиной и омлетом; positive: clear cooking steps, usable quantities",,medium,Бутерброд с ветчиной и омлетом,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.733; same source title appears 6 times in this workbook,
Все рецепты!R193 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1500 вариант 2.pdf | variant 2 завтрак,бутерброды с говядиной и сыром,MAYBE_REVIEW,69,breakfast,20-45 min,unknown,"бутерброды с говядиной и; сыром. Хлеб зерновой (3; средних ломтика); легкий; варенаяпостная (или в вакумной; упаковке, готовая не жирная)","бутерброды с говядиной и
сыром. Хлеб зерновой (3
средних ломтика) - 110 гр. Сыр
легкий (15-20%) - 50 гр, говядина
варенаяпостная (или в вакумной
упаковке, готовая не жирная) -
50гр Можно добавить зелень и
овощи (помидор огурец)","Делаем бутерброды с хлебом
сыром и говядиной.","КБЖУ завтрак
430
31
16
39",[InfoVolna.com] Рекомендованный план питания 1500 вариант 2.pdf,"possible duplicate; compare with existing: Бутерброд с ветчиной и омлетом; positive: clear cooking steps, usable quantities",,medium,Бутерброд с ветчиной и омлетом,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.733; same source title appears 6 times in this workbook,
Все рецепты!R218 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1500 вариант 7.pdf | variant 7 завтрак,бутерброды с говядиной и сыром,MAYBE_REVIEW,69,breakfast,20-45 min,unknown,"бутерброды с говядиной и; сыром. Хлеб зерновой (3; средних ломтика); легкий; варенаяпостная (или в вакумной; упаковке, готовая не жирная)","бутерброды с говядиной и
сыром. Хлеб зерновой (3
средних ломтика) - 110 гр. Сыр
легкий (15-20%) - 50 гр, говядина
варенаяпостная (или в вакумной
упаковке, готовая не жирная) -
50гр Можно добавить зелень и
овощи (помидор огурец)","Делаем бутерброды с хлебом
сыром и говядиной.","КБЖУ завтрак
430
31
16
39",[InfoVolna.com] Рекомендованный план питания 1500 вариант 7.pdf,"possible duplicate; compare with existing: Бутерброд с ветчиной и омлетом; positive: clear cooking steps, usable quantities",,medium,Бутерброд с ветчиной и омлетом,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.733; same source title appears 6 times in this workbook,
Все рецепты!R298 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1800 вариант 2.pdf | variant 2 завтрак,бутерброды с говядиной и сыром,MAYBE_REVIEW,69,breakfast,20-45 min,unknown,"бутерброды с говядиной и; сыром. Хлеб зерновой (3; средних ломтика); легкий; варенаяпостная (или в вакумной; упаковке, готовая не жирная)","бутерброды с говядиной и
сыром. Хлеб зерновой (3
средних ломтика) - 110 гр. Сыр
легкий (15-20%) - 50 гр, говядина
варенаяпостная (или в вакумной
упаковке, готовая не жирная) -
50гр Можно добавить зелень и
овощи (помидор огурец)","Делаем бутерброды с хлебом
сыром и говядиной.","КБЖУ завтрак
430
31
16
39",[InfoVolna.com] Рекомендованный план питания 1800 вариант 2.pdf,"possible duplicate; compare with existing: Бутерброд с ветчиной и омлетом; positive: clear cooking steps, usable quantities",,medium,Бутерброд с ветчиной и омлетом,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.733; same source title appears 6 times in this workbook,
Все рецепты!R403 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2100-2200 вариант 2.pdf | variant 2 завтрак,бутерброды с говядиной и сыром,MAYBE_REVIEW,69,breakfast,20-45 min,unknown,"бутерброды с говядиной и; сыром. Хлеб зерновой (3; средних ломтика); легкий; варенаяпостная (или в вакумной; упаковке, готовая не жирная)","бутерброды с говядиной и
сыром. Хлеб зерновой (3
средних ломтика) - 110 гр. Сыр
легкий (15-20%) - 50 гр, говядина
варенаяпостная (или в вакумной
упаковке, готовая не жирная) -
50гр Можно добавить зелень и
овощи (помидор огурец)","Делаем бутерброды с
хлебом сыром и говядиной.","КБЖУ завтрак
430
31
16
39",[InfoVolna.com] Рекомендованный план питания 2100-2200 вариант 2.pdf,"possible duplicate; compare with existing: Бутерброд с ветчиной и омлетом; positive: clear cooking steps, usable quantities",,medium,Бутерброд с ветчиной и омлетом,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.733; same source title appears 6 times in this workbook,
Все рецепты!R519 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2700-3000 вариант 3.pdf | variant 3 перекус 1,бутерброды с говядиной и сыром,MAYBE_REVIEW,69,snack,20-45 min,unknown,"бутерброды с говядиной и; сыром. Хлеб зерновой (3; средних ломтика); легкий; варенаяпостная (или в вакумной; упаковке, готовая не жирная)","бутерброды с говядиной и
сыром. Хлеб зерновой (3
средних ломтика) - 110 гр. Сыр
легкий (15-20%) - 50 гр, говядина
варенаяпостная (или в вакумной
упаковке, готовая не жирная) -
50гр Можно добавить зелень и
овощи (помидор огурец)","Делаем бутерброды с
хлебом сыром и говядиной.","КБЖУ перекус
430
31
16
39",[InfoVolna.com] Рекомендованный план питания 2700-3000 вариант 3.pdf,"possible duplicate; compare with existing: Бутерброд с ветчиной и омлетом; positive: clear cooking steps, usable quantities",,medium,Бутерброд с ветчиной и омлетом,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.733; same source title appears 6 times in this workbook,
Все рецепты!R133 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 4.pdf | variant 4 завтрак,бутерброды с сыром и слабосоленой семгой,MAYBE_REVIEW,69,breakfast,20-45 min,unknown,"бутерброды с сыром и; слабосоленой семгой. Хлеб; зерновой; гр. Сыр легкий; гр, семга слабосоленая (если; упаковка","бутерброды с сыром и
слабосоленой семгой. Хлеб
зерновой (2 средних ломтика) -
70 гр. Сыр легкий (15-20%) - 50
гр, семга слабосоленая (если
упаковка 100гр, пол упаковки) -
50гр","Делаем бутерброды с
хлебом сыром и семгой.","КБЖУ завтрак
402
33
16
29",[InfoVolna.com] Рекомендованый план питания 1300 вариант 4.pdf,"possible duplicate; compare with existing: Бутерброд с сыром и ветчиной; positive: clear cooking steps, usable quantities",,medium,Бутерброд с сыром и ветчиной,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.706; same source title appears 11 times in this workbook,
Все рецепты!R163 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 3.pdf | variant 3 завтрак,бутерброды с сыром и слабосоленой семгой,MAYBE_REVIEW,69,breakfast,20-45 min,unknown,"бутерброды с сыром и; слабосоленой семгой. Хлеб; зерновой; гр. Сыр легкий; гр, семга слабосоленая (если; упаковка","бутерброды с сыром и
слабосоленой семгой. Хлеб
зерновой (2 средних ломтика) -
70 гр. Сыр легкий (15-20%) - 50
гр, семга слабосоленая (если
упаковка 100гр, пол упаковки) -
50гр","Делаем бутерброды с
хлебом сыром и семгой.","КБЖУ завтрак
402
33
16
29",[InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 3.pdf,"possible duplicate; compare with existing: Бутерброд с сыром и ветчиной; positive: clear cooking steps, usable quantities",,medium,Бутерброд с сыром и ветчиной,good,good,compare with similar existing recipe; choose one best source variant before any import,InfoVolna meal-plan row; check it works as a standalone recipe; duplicate similarity score 0.706; same source title appears 11 times in this workbook,
