rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
124,r267_hlebtsy_s_tvorogom_golubikoy_i_arahisovoy_pastoy,"Хлебцы с творогом, голубикой и арахисовой пастой","ingredient in list not named in steps: 2 (whole_grain_bread, peanut_butter); missing approximate/user-friendly measure: 2; e.g. Творог 5% — 180 г; truncation/fragment/weak finish: 1; e.g. Добавьте голубику, арахисовую пасту, мед и корицу",D. rewrite steps for completeness,no,warning
125,r420_lenivyy_hachapuri_po_adzharski,Ленивый хачапури по-аджарски,"ingredient in list not named in steps: 2 (gouda, wheat_flour); missing approximate/user-friendly measure: 2; e.g. творог 2-5% (хорошо размять) — 150 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
126,r457_azu_iz_indeyki_na_skovorode,Азу из индейки на сковороде,"ingredient in list not named in steps: 2 (pickles, tomato_paste); missing approximate/user-friendly measure: 2; e.g. чеснок — 2 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
127,r486_eskalop_svinoy_s_syrom,Эскалоп свиной с сыром,"ingredient in list not named in steps: 2 (pork_chop, bell_pepper); missing approximate/user-friendly measure: 2; e.g. сыр гауда — 30 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
128,r494_losos_v_slivochnom_souse_so_shpinatom_i_syrom,Лосось в сливочном соусе со шпинатом и сыром,"ingredient in list not named in steps: 2 (salmon, pine_nuts); missing approximate/user-friendly measure: 2; e.g. сыр гауда — 10 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
129,r556_kartofelnye_nokki,Картофельные ньокки,"ingredient in list not named in steps: 2 (rice_flour, gouda); missing approximate/user-friendly measure: 2; e.g. томаты в собственном соку — 120 г (без добавленного соуса); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
130,r559_ruletiki_iz_baklazhanov_s_myasom_i_syrom,Рулетики из баклажанов с говяжьим фаршем и сыром,"ingredient in list not named in steps: 2 (gouda, garlic); missing approximate/user-friendly measure: 2; e.g. томаты в собственном соку — 120 г (без добавленного соуса); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
131,r242_tako_s_beloy_ryboy_krasnoy_kapustoy_i_avokado,"Тако с белой рыбой, красной капустой и авокадо","ingredient in list not named in steps: 3 (white_fish, red_cabbage, flour_tortilla); truncation/fragment/weak finish: 1; e.g. На каждую тортилью намажьте немного сметаны, добавьте капусту, помидоры, авокадо, кусочки рыбы, кинзу, зеленый чили и острый соус",D. rewrite steps for completeness,no,warning
132,r251_sendvich_s_tuntsom_i_yaytsom,Сэндвич с тунцом и яйцом,"ingredient in list not named in steps: 3 (whole_grain_bread, cucumber, lemon_juice); truncation/fragment/weak finish: 1; e.g. Соберите сэндвич из хлеба, салата, огурца, тунца и яйца",D. rewrite steps for completeness,no,warning
133,r441_omlet_iz_nutovoy_muki_s_brokkoli_i_struchkovoy_fasolyu,Омлет из нутовой муки с брокколи и стручковой фасолью,"ingredient in list not named in steps: 3 (wheat_flour, broccoli, red_beans); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
134,r469_kotlety_iz_nuta,Котлеты из нута,"ingredient in list not named in steps: 3 (wheat_flour, breadcrumbs, cucumber); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
135,r510_rulet_iz_lavasha_s_krabovymi_palochkami,Рулет из лаваша с крабовыми палочками,"ingredient in list not named in steps: 3 (cream_cheese, tomato, bell_pepper); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
136,r514_rulet_iz_lavasha_s_tuntsom,Рулет из лаваша с тунцом,"ingredient in list not named in steps: 3 (tuna, cream_cheese, lettuce); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
137,r519_kurinye_bedra_s_kartofelem_v_duhovke,Куриные бедра с картофелем в духовке,"ingredient in list not named in steps: 3 (chicken_thigh, onion, garlic); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
138,r536_bulgur_s_kuritsey_i_ovoschami,Булгур с курицей и овощами,"ingredient in list not named in steps: 3 (bell_pepper, carrot, onion); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
139,r568_kuritsa_po_marokkanski_s_kuragoy,Курица по-мароккански с курагой,"ingredient in list not named in steps: 3 (chicken_thigh, onion, rice); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
140,r633_tofu_omlet_bez_yaits,Тофу-омлет без яиц,"ingredient in list not named in steps: 3 (rice_flour, green_onion, dill); truncation/fragment/weak finish: 1; e.g. Разделите на четверти, переверните и прогрейте еще 2 минуты",D. rewrite steps for completeness,no,warning
141,r643_fruktovye_chipsy,Фруктовые чипсы,"ingredient in list not named in steps: 3 (apple, banana, pear); truncation/fragment/weak finish: 1; e.g. Сушите при 100 °C, переворачивая ломтики, пока они станут румяными и слегка хрустящими",D. rewrite steps for completeness,no,warning
142,r292_omlet_s_tremya_syrami_i_zelenym_lukom,Омлет с тремя сырами и зеленым луком,missing approximate/user-friendly measure: 3; e.g. Творог 5% — 60 г; ingredient in list not named in steps: 1 (feta); truncation/fragment/weak finish: 1; e.g. Сложите пополам и прогрейте 1 минуту,D. rewrite steps for completeness,no,warning
143,r493_shaurma_s_falafelem,Шаурма с фалафелем,missing approximate/user-friendly measure: 3; e.g. греческий йогурт (для контролируемого соуса) — 30 г; ingredient in list not named in steps: 1 (korean_carrot); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
144,r499_pasta_s_krevetkami_i_sousom_pesto,Паста с креветками и соусом песто,missing approximate/user-friendly measure: 3; e.g. длинная паста — 80 г; ingredient in list not named in steps: 1 (chili_pepper); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
145,r092_tofu_pankeyki_s_bananom_malinoy_i_brazilskimi_orehami,"Тофу-панкейки с бананом, малиной и бразильскими орехами","ingredient in list not named in steps: 4 (maple_syrup, lemon_juice, wheat_flour, brown_sugar); missing approximate/user-friendly measure: 1; e.g. бразильские орехи — 10 г; 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
146,r098_veganskie_burrito_s_tofu_skremblom_i_chernoy_fasolyu,Веганские буррито с тофу-скрэмблом и черной фасолью,"ingredient in list not named in steps: 4 (red_beans, bell_pepper, green_onion, chili_pepper); missing approximate/user-friendly measure: 1; e.g. сальса — 30 г сверху; 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
147,r217_tayskiy_zelenyy_karri_sup_s_udonom_i_krevetkami,Тайский зеленый карри-суп с удоном и креветками,"ingredient in list not named in steps: 4 (thai_curry_paste, egg_noodles, chili_pepper, green_onion); missing approximate/user-friendly measure: 1; e.g. сырые очищенные креветки — 75 г; 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
148,r050_britanskiy_tost_s_domashney_fasolyu_v_tomatnom_souse,Британский тост с домашней фасолью в томатном соусе,"ingredient in list not named in steps: 2 (tomato_paste, red_beans); truncation/fragment/weak finish: 1; e.g. Выложите горячую фасоль на тосты и завершите рукколой; missing approximate/user-friendly measure: 1; e.g. томатная паста — 15 г",D. rewrite steps for completeness,no,warning
149,r085_boul_s_batatom_shiitake_keylom_i_yaytsom,"Боул с бататом, шиитаке, кейлом и яйцом","ingredient in list not named in steps: 2 (red_cabbage, microgreens); truncation/fragment/weak finish: 1; e.g. Положите по яйцу в каждую миску, добавьте хумус, проростки и петрушку; missing approximate/user-friendly measure: 1; e.g. хумус — 30 г",D. rewrite steps for completeness,no,warning
150,r111_govyadina_tushennaya_s_ovoschami,"Говядина, тушенная с овощами","ingredient in list not named in steps: 2 (vegetable_broth, tomato_paste); truncation/fragment/weak finish: 1; e.g. Тушите под крышкой 60–75 минут до мягкости мяса; missing approximate/user-friendly measure: 1; e.g. томатная паста — 10 г",D. rewrite steps for completeness,no,warning
151,r256_hlebtsy_s_lososem_i_tvorozhnym_syrom,Хлебцы с лососем и творожным сыром,"ingredient in list not named in steps: 2 (whole_grain_bread, cream_cheese); truncation/fragment/weak finish: 1; e.g. Выложите лосось и огурец, добавьте укроп и лимонный сок; missing approximate/user-friendly measure: 1; e.g. Творожный сыр — 45 г",D. rewrite steps for completeness,no,warning
152,r257_grecheskiy_yogurt_s_ovsyankoy_i_arahisovoy_pastoy,Греческий йогурт с овсянкой и арахисовой пастой,"ingredient in list not named in steps: 2 (oats, peanut_butter); truncation/fragment/weak finish: 1; e.g. Добавьте нарезанный банан и арахисовую пасту; missing approximate/user-friendly measure: 1; e.g. Арахисовая паста — 15 г",D. rewrite steps for completeness,no,warning
153,r288_tost_s_indeykoy_tvorozhnym_syrom_i_inzhirom,"Тост с индейкой, творожным сыром и инжиром","ingredient in list not named in steps: 2 (whole_grain_bread, cream_cheese); truncation/fragment/weak finish: 1; e.g. Сбрызните бальзамическим уксусом; missing approximate/user-friendly measure: 1; e.g. Творожный сыр — 45 г",D. rewrite steps for completeness,no,warning
154,r297_yaichnyy_sendvich_s_vetchinoy_i_chedderom,Яичный сэндвич с ветчиной и чеддером,"ingredient in list not named in steps: 2 (whole_grain_bread, cheddar); truncation/fragment/weak finish: 1; e.g. Соберите сэндвич с яйцами, ветчиной, сыром, помидором и салатом; missing approximate/user-friendly measure: 1; e.g. Сыр чеддер — 25 г",D. rewrite steps for completeness,no,warning
155,r303_ovsyanka_s_tvorogom_bananom_i_chernikoy,"Овсянка с творогом, бананом и черникой","ingredient in list not named in steps: 2 (oats, milk); truncation/fragment/weak finish: 1; e.g. Добавьте творог, нарезанный банан, чернику и корицу; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 120 г",D. rewrite steps for completeness,no,warning
156,r344_tost_s_yablokom_indeykoy_i_syrom,"Тост с яблоком, индейкой и сыром","ingredient in list not named in steps: 2 (whole_grain_bread, apple); truncation/fragment/weak finish: 1; e.g. Выложите на хлеб соус, индейку, тонкие ломтики яблока и сыр; missing approximate/user-friendly measure: 1; e.g. Сыр чеддер — 30 г",D. rewrite steps for completeness,no,warning
157,r387_tvorozhnaya_banochka_s_pertsem_hrustyaschim_nutom_i_ku,"Творожная баночка с перцем, хрустящим нутом и кунжутно-луковой приправой","ingredient in list not named in steps: 2 (sesame_seeds, chickpeas); truncation/fragment/weak finish: 1; e.g. Сверху выложите нарезанный красный сладкий перец; missing approximate/user-friendly measure: 1; e.g. низкосолевой творог 2% — 70 г",D. rewrite steps for completeness,no,warning
158,r392_balzamicheskiy_salat_s_ogurtsom_cherri_fetoy_i_olivkam,"Бальзамический салат с курицей, огурцом, черри, фетой и оливками","ingredient in list not named in steps: 2 (tomato, feta); truncation/fragment/weak finish: 1; e.g. Смешайте с оливками, оливковым маслом, бальзамическим уксусом, солью и перцем; missing approximate/user-friendly measure: 1; e.g. Фета — 45 г",D. rewrite steps for completeness,no,warning
159,r394_mini_salat_s_tomatami_ogurtsom_bazilikom_i_fetoy,"Мини-салат с томатами, огурцом, базиликом и фетой","ingredient in list not named in steps: 2 (feta, lemon_juice); truncation/fragment/weak finish: 1; e.g. Смешайте с йогуртом, базиликом, маслом, лимонным соком, солью и перцем; missing approximate/user-friendly measure: 1; e.g. Фета — 50 г",D. rewrite steps for completeness,no,warning
160,r401_farshirovannye_pertsy_s_risom_i_ovoschami_v_duhovke,Фаршированные перцы с рисом и овощами в духовке,"ingredient in list not named in steps: 2 (red_beans, gouda); missing approximate/user-friendly measure: 1; e.g. сыр гауда — 5 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
161,r403_omlet_s_tvorogom_i_zelenyu,Омлет с творогом и зеленью,"ingredient in list not named in steps: 2 (egg, tomato); missing approximate/user-friendly measure: 1; e.g. творог — 80 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
162,r407_buterbrod_s_tuntsom_i_pomidorom,Бутерброд с тунцом и помидором,"ingredient in list not named in steps: 2 (whole_grain_bread, cream_cheese); missing approximate/user-friendly measure: 1; e.g. творожный крем-сыр нежирный — 25 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
163,r482_steyk_iz_indeyki_s_fasolyu,Стейк из индейки с фасолью,"ingredient in list not named in steps: 2 (red_beans, nuts_mix); missing approximate/user-friendly measure: 1; e.g. смесь семян для салатов — 10 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
164,r490_buterbrod_s_vetchinoy_i_omletom,Бутерброд с ветчиной и омлетом,"ingredient in list not named in steps: 2 (whole_grain_bread, cream_cheese); missing approximate/user-friendly measure: 1; e.g. сливочный сыр — 50 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
165,r517_lavash_s_kuritsey_i_gribami,Лаваш с курицей и грибами,"ingredient in list not named in steps: 2 (onion, parmesan); missing approximate/user-friendly measure: 1; e.g. твердый сыр — 40 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
166,r537_kartofelnaya_zapekanka_s_farshem,Картофельная запеканка с говяжьим фаршем,"ingredient in list not named in steps: 2 (onion, tomato_paste); missing approximate/user-friendly measure: 1; e.g. томатная паста — 65 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
167,r552_meksikanskaya_zapekanka_s_risom_i_fasolyu,"Мексиканская запеканка с рисом, фасолью и говяжьим фаршем","ingredient in list not named in steps: 2 (rice, gouda); missing approximate/user-friendly measure: 1; e.g. сыр гауда — 40 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
168,r579_risovye_shariki_s_tuntsom,Рисовые шарики с тунцом,"ingredient in list not named in steps: 2 (tuna, soy_sauce); missing approximate/user-friendly measure: 1; e.g. соевый соус — 10 г; extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
169,r642_burrito_v_banke_s_fasolyu_i_yogurtom,Буррито в банке с фасолью и йогуртом,"ingredient in list not named in steps: 2 (lemon_juice, red_beans); truncation/fragment/weak finish: 1; e.g. Сверху добавьте фасоль, тертый сыр и греческий йогурт; missing approximate/user-friendly measure: 1; e.g. сыр — 40 г",D. rewrite steps for completeness,no,warning
170,r649_smes_suhofruktov,Смесь сухофруктов,"ingredient in list not named in steps: 2 (raisins, cranberries_dried); truncation/fragment/weak finish: 1; e.g. Смешайте все в небольшой порционный перекус; missing approximate/user-friendly measure: 1; e.g. финики — 15 г",D. rewrite steps for completeness,no,warning
171,r370_sladko_solenye_ostrye_orehi_s_kuminom,Сладко-соленые острые орехи с кумином,"missing approximate/user-friendly measure: 4; e.g. половинки грецких орехов — 9 г; truncation/fragment/weak finish: 1; e.g. Влейте горячий сироп к орехам, быстро перемешайте и распределите на противне одним слоем",D. rewrite steps for completeness,no,warning
172,r318_shokoladnyy_proteinovyy_sheyk_s_tvorogom,Шоколадный протеиновый шейк с творогом,"missing approximate/user-friendly measure: 2; e.g. Творог 5% — 150 г; ingredient in list not named in steps: 1 (peanut_butter); truncation/fragment/weak finish: 1; e.g. Взбейте молоко, творог, банан, какао и арахисовую пасту до однородности",D. rewrite steps for completeness,no,warning
173,r362_tvorog_s_mindalem_izyumom_i_vozdushnoy_pshenitsey,"Творог с миндалем, изюмом и воздушной пшеницей","missing approximate/user-friendly measure: 2; e.g. Творог 5% — 200 г; ingredient in list not named in steps: 1 (cereal_flakes); truncation/fragment/weak finish: 1; e.g. Добавьте миндаль, изюм и воздушную пшеницу",D. rewrite steps for completeness,no,warning
174,r386_italyanskie_salatnye_listya_s_kurinoy_grudkoy_i_parmez,Итальянские салатные листья с куриной грудкой и пармезаном,"missing approximate/user-friendly measure: 2; e.g. Миндаль — 12 г; ingredient in list not named in steps: 1 (tomato); truncation/fragment/weak finish: 1; e.g. Выложите начинку в листья салата, добавьте черри, миндаль и пармезан",D. rewrite steps for completeness,no,warning
175,r460_makarony_s_yaytsom_i_syrom,Макароны с яйцом и сыром,missing approximate/user-friendly measure: 2; e.g. цельнозерновая паста — 60 г; ingredient in list not named in steps: 1 (gouda); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
176,r561_kurinyy_burger_bez_bulki,Куриный бургер без булки,missing approximate/user-friendly measure: 2; e.g. сыр гауда — 40 г; ingredient in list not named in steps: 1 (potato); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
177,r605_tvorog_s_solenoy_karamelyu_iz_finikov,Творог с солёной карамелью из фиников,missing approximate/user-friendly measure: 2; e.g. творог — 200 г; ingredient in list not named in steps: 1 (milk); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
178,r070_norvezhskie_bulochki_s_zavarnym_kremom_i_kokosom,Норвежские булочки с заварным кремом и кокосом,"ingredient in list not named in steps: 4 (wheat_flour, egg, egg_yolk, cornstarch); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
179,r152_kunzhutnyy_hrustyaschiy_tofu_s_risom_i_edamame,Кунжутный хрустящий тофу с рисом и зеленым горошком,"ingredient in list not named in steps: 4 (ginger, green_peas, green_onion); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
180,r154_tofu_v_kislo_sladkom_souse_general_tso_s_brokkoli_i_ri,Тофу в кисло-сладком соусе Генерал Цо с брокколи и рисом,"ingredient in list not named in steps: 4 (sriracha, cornstarch, ginger, chili_pepper); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
181,r157_enchiladas_s_batatom_chernoy_fasolyu_i_salsoy_verde,"Энчиладас с бататом, черной фасолью и сальсой верде","ingredient in list not named in steps: 4 (red_beans, chili_pepper, lime_juice, onion); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
182,r160_chernofasolevye_burgery_s_fetoy_keshyu_i_chipotle,"Чернофасолевые бургеры с фетой, кешью и чипотле","ingredient in list not named in steps: 4 (chili_pepper, feta, breadcrumbs, processed_cheese); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
183,r161_veganskiy_chili_s_batatom_chernoy_i_krasnoy_fasolyu,"Веганский чили с бататом, черной и красной фасолью","ingredient in list not named in steps: 4 (tomato_paste, red_beans, rice); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
184,r162_veganskiy_chili_s_krasnoy_chechevitsey_fasolyu_i_tykvo,"Веганский чили с красной чечевицей, фасолью и тыквой баттернат","ingredient in list not named in steps: 4 (green_onion, tomato_paste, red_beans, butternut_squash); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
185,r201_boul_s_kuritsey_tykvoy_i_bryusselskoy_kapustoy,"Боул с курицей, тыквой и брюссельской капустой","ingredient in list not named in steps: 4 (butternut_squash, brussels_sprouts, lemon_juice, pumpkin_seeds); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
186,r212_kurinyy_sup_s_domashnim_bulonom_i_shirokoy_lapshoy,Куриный суп с домашним бульоном и широкой лапшой,"ingredient in list not named in steps: 4 (carrot, onion, chicken_drumstick, egg_noodles); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
187,r220_svinina_s_zelenym_chili_kartofelem_i_homini,"Свинина с зеленым чили, картофелем и хомини","ingredient in list not named in steps: 4 (pork_loin, onion, cornstarch, oregano); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
188,r243_tayskoe_krasnoe_karri_s_kurinymi_bedrami,Тайское красное карри с куриными бедрами,"ingredient in list not named in steps: 4 (thai_curry_paste, chicken_thigh, ginger, rice); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
189,r249_kurinaya_shaurma_v_lavashe_s_yogurtovym_sousom,Куриная шаурма в лаваше с йогуртовым соусом,"ingredient in list not named in steps: 4 (cucumber, tomato, cabbage, lemon_juice); 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
190,r001_ovsyanka_na_noch_s_yagodami,Овсянка на ночь с ягодами,"ingredient in list not named in steps: 2 (oats, peanut_butter); truncation/fragment/weak finish: 1; e.g. Утром добавить ягоды и ореховую пасту",D. rewrite steps for completeness,no,warning
191,r002_tost_s_avokado,Тост с авокадо,"ingredient in list not named in steps: 2 (lemon_juice, whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Поджарить хлеб, сбрызнуть маслом и выложить сверху авокадо",D. rewrite steps for completeness,no,warning
192,r043_tost_s_yaytsom_indeykoy_i_ovoschami,"Тост с яйцом, индейкой или курицей и овощами","ingredient in list not named in steps: 2 (whole_grain_bread, turkey_or_chicken_breast); truncation/fragment/weak finish: 1; e.g. Соберите тост с индейкой или курицей, яйцом, помидором, салатом и йогуртовым соусом",D. rewrite steps for completeness,no,warning
193,r073_yaytsa_s_fasolyu_tomatami_i_tortiley,"Яйца с фасолью, томатами и тортильей","ingredient in list not named in steps: 2 (lime_juice, red_beans); truncation/fragment/weak finish: 1; e.g. Положите по яйцу на каждую тортилью, добавьте теплую сальсу и пико-де-гайо",D. rewrite steps for completeness,no,warning
194,r082_tost_s_brokkoli_yaytsom_i_yogurtovym_sousom,"Тост с брокколи, яйцом и йогуртовым соусом","ingredient in list not named in steps: 2 (whole_grain_bread, lemon_juice); truncation/fragment/weak finish: 1; e.g. Поджарьте хлеб, выложите брокколи и яйца, добавьте йогуртовый соус",D. rewrite steps for completeness,no,warning
195,r119_burgery_iz_baraniny_s_tsatsiki,Бургеры из баранины с цацики,"ingredient in list not named in steps: 2 (onion, mint); truncation/fragment/weak finish: 1; e.g. Соберите бургеры с котлетами, цацики, ломтиками помидора, красным луком и листьями мяты",D. rewrite steps for completeness,no,warning
196,r282_krostini_s_pyure_iz_goroshka_rukkoloy_i_bobami,"Кростини с пюре из горошка, рукколой и бобами","ingredient in list not named in steps: 2 (fava_young, mint); truncation/fragment/weak finish: 1; e.g. Настрогайте пекорино овощечисткой и сбрызните кростини оливковым маслом",D. rewrite steps for completeness,no,warning
197,r352_roll_s_krevetkami_avokado_laymom_i_tabasko,"Ролл с креветками, авокадо, лаймом и табаско","ingredient in list not named in steps: 2 (hot_sauce, lettuce); truncation/fragment/weak finish: 1; e.g. Выложите авокадную смесь полосой по центру тортильи, сверху распределите салатные листья и креветки",D. rewrite steps for completeness,no,warning
198,r382_farshirovannye_yaytsa_s_avokado_zelenym_lukom_i_bekono,"Фаршированные яйца с авокадо, зеленым луком и беконом","ingredient in list not named in steps: 2 (green_onion, lemon_juice); truncation/fragment/weak finish: 1; e.g. Наполните белки и добавьте бекон",D. rewrite steps for completeness,no,warning
199,r399_ryba_v_salatnyh_listyah_s_morkovyu_i_yogurtovym_sousom,Рыба в салатных листьях с морковью и йогуртовым соусом,"ingredient in list not named in steps: 2 (white_fish, lemon_juice); truncation/fragment/weak finish: 1; e.g. Выложите рыбу, морковь, огурец и соус в листья салата",D. rewrite steps for completeness,no,warning
200,r431_marokkanskiy_salat_s_pomidorami_koritsey_i_nutom,"Марокканский салат с помидорами, корицей и нутом","ingredient in list not named in steps: 2 (onion, lemon_juice); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
201,r438_avokado_tost,Авокадо-тост,"ingredient in list not named in steps: 2 (whole_grain_bread, tomato); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
202,r439_smuzi_iz_banana_shpinata_i_orehovogo_moloka,"Смузи из банана, шпината и орехового молока","ingredient in list not named in steps: 2 (almond_milk, chia_seeds); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
203,r454_gulyash_iz_kurinoy_pecheni,Гуляш из куриной печени,"ingredient in list not named in steps: 2 (chicken_liver, wheat_flour); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
204,r471_gorohovyy_sup_pyure,Гороховый суп-пюре,"ingredient in list not named in steps: 2 (split_peas, whole_grain_bread); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
205,r473_tilapiya_v_duhovke,Тилапия в духовке,"ingredient in list not named in steps: 2 (white_fish, lemon_juice); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
206,r484_kuritsa_s_ovoschami_po_derevenski,Курица с овощами по-деревенски,"ingredient in list not named in steps: 2 (chicken_thigh_skinless, pumpkin); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
207,r533_kurinoe_karri_na_kokosovom_moloke,Куриное карри на кокосовом молоке,"ingredient in list not named in steps: 2 (onion, rice); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
208,r542_kuritsa_teriyaki_s_risom,Курица терияки с рисом,"ingredient in list not named in steps: 2 (rice, sesame_seeds); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
209,r543_tushenaya_govyadina_s_kartofelem,Тушёная говядина с картофелем,"ingredient in list not named in steps: 2 (onion, garlic); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
210,r554_indeyka_s_klyukvennym_sousom_i_kartofelnym_pyure,Индейка с клюквенным соусом и картофельным пюре,"ingredient in list not named in steps: 2 (honey, potato); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
211,r555_kuritsa_po_marokkanski_s_nutom,Курица по-мароккански с нутом,"ingredient in list not named in steps: 2 (onion, rice); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
212,r588_brusketty_so_shprotami_i_marinovannym_lukom,Брускетты со шпротами и маринованным луком,"ingredient in list not named in steps: 2 (baguette, lemon_juice); extra ranking weight: transferred range r401-r610",A. looks okay / no fix (low-priority warning review),yes,warning
213,r622_fasol_s_indeykoy_i_ovoschami,Фасоль с индейкой и овощами,"ingredient in list not named in steps: 2 (red_beans, parsley); truncation/fragment/weak finish: 1; e.g. Вмешайте фасоль и прогрейте еще 5 минут",D. rewrite steps for completeness,no,warning
214,r632_postnyy_sendvich_s_nutom_i_avokado,Постный сэндвич с нутом и авокадо,"ingredient in list not named in steps: 2 (pickles, whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Смажьте хлеб нутовой пастой, добавьте огурцы и листья салата, накройте вторым ломтиком",D. rewrite steps for completeness,no,warning
215,r635_salat_iz_pekinskoy_kapusty_s_kuritsey_yaytsom_i_kukuru,"Салат из пекинской капусты с курицей, яйцом и кукурузой","ingredient in list not named in steps: 2 (napa_cabbage, lemon_juice); truncation/fragment/weak finish: 1; e.g. Заправьте йогуртом с лимонным соком и аккуратно перемешайте",D. rewrite steps for completeness,no,warning
216,r656_avokado_tost_s_nutom,Авокадо-тост с нутом,"ingredient in list not named in steps: 2 (whole_grain_bread, lemon_juice); truncation/fragment/weak finish: 1; e.g. Авокадо разомните отдельно и выложите на тост, сверху добавьте нутовую смесь",D. rewrite steps for completeness,no,warning
217,r661_zapechennye_kusochki_tofu,Запеченные кусочки тофу,"ingredient in list not named in steps: 2 (soy_sauce, cornstarch); truncation/fragment/weak finish: 1; e.g. Запеките до плотной румяной корочки",D. rewrite steps for completeness,no,warning
218,r178_kremovaya_tselnozernovaya_pasta_s_pesto_i_keylom,Кремовая цельнозерновая паста с песто и кейлом,"missing approximate/user-friendly measure: 3; e.g. цельнозерновая паста — 75 г; truncation/fragment/weak finish: 1; e.g. Перемешайте, при необходимости разбавьте водой от пасты, посолите и поперчите",D. rewrite steps for completeness,no,warning
